rock_type,density
alkalic gabbro,2954
carbonatite,2825
cumulate peridotite,3160
diorite,2787
foid gabbro,3001
foid monzodiorite,2831
foid monzosyenite,2757
foid syenite,2631
gabbroic diorite,2897
granite,2660
granodiorite,2718
intermediate foidolite,2760
mafic foidolite,2944
mantle peridotite,3364
monzodiorite,2838
monzogabbro,2906
monzonite,2762
peridotgabbro,3245
quartz monzonite,2690
quartzolite,2700
subalkalic gabbro,2969
syenite,2664
ultra-high alkali plutonic,2598
ultramafic foidolite,3081
alkali picrite,3095
alkalic basalt,2957
andesite,2805
basaltic andesite,2899
basaltic trachyandesite,2844
boninite,3020
carbonatite,2846
dacite,2736
intermediate,2789
komatiite,3164
mafic foidite,2903
meimechite,3288
phonolite,2644
phonotephrite,2830
picrite,3111
picrobasalt,3062
rhyolite,2675
silexite,2722
subalkalic basalt,2961
tephriphonolite,2731
tephrite,2972
trachyandesite,2770
trachybasalt,2905
trachydacite,2704
trachyte,2672
ultra-high alkali volcanic,2685
ultramafic foidite,3049
arkose,2641
dolomite,2782
iron-rich sand,2733
iron-rich shale,2756
laterite,3313
limestone,2726
litharenite,2691
oxide,3194
quartz arenite,2854
quartzite,2677
shale,2682
subarkose,2731
sublitharenite,2745
wacke,2669
