MineralName,Abbreviation,Formula,ConsWeight,CorrWeight,Density
Quartz,Qz,SiO2,60.0843,NaN,2.648
Albite,Ab,Na2O.Al2O3.6SiO2,524.446016,462.467076,2.62
Anorthite,An,CaO.Al2O3.2SiO2,278.207276,222.129876,2.76
Orthoclase,Or,K2O.Al2O3.6SiO2,556.663076,462.467076,2.6
Nepheline,Ne,Na2O.Al2O3.2SiO2,284.108816,222.129876,2.6
Leucite,Lc,K2O.Al2O3.4SiO2,436.494476,342.298476,2.485
Thenardite,Th,Na2O.SO3,142.044639,80.0656,2.664
Corundum,C,Al2O3,101.961276,NaN,4.022
Diopside_Mg,Di_Mg,CaO.MgO.2SiO2,216.5504,160.473,3.3
Diopside_Fe,Di_Fe,CaO.FeO.2SiO2,NaN,176.246,3.56
Diopside_Ca,Di_Ca,CaO.FeO.2SiO2,NaN,120.1686,3.38
Wollastonite,Wo,CaO.SiO2,116.1617,60.0843,2.845
Hypersthene_Mg,Hy_Mg,MgO.SiO2,100.3886,NaN,3.34
Hypersthene_Fe,Hy_Fe,FeO.SiO2,NaN,60.0843,3.96
Olivine_Mg,Ol_Mg,2MgO.SiO2,140.6931,NaN,3.222
Olivine_Fe,Ol_Fe,2FeO.SiO2,NaN,60.0843,4.24
Sphene,Tn,CaO.TiO2.SiO2,196.0275,139.9501,3.5
Perovskite,Pf,CaO.TiO2,135.9432,79.8658,4.02
Apatite_F,Ap-F,3CaO.P2O5.(1/3)CaF2,336.201659,154.610126,3.24
Apatite_Ca,Ap-Ca,3CaO.P2O5.(1/3)CaO,328.869191,141.944522,3.225
Fluorite,Fr,CaF2,78.074806,37.9968064,3.185
Magnetite,Mt,FeO.Fe2O3,NaN,159.6882,5.175
Hematite,He,Fe2O3,159.6882,NaN,5.15
Ilmenite,Il,FeO.TiO2,NaN,79.8658,4.75
Acmite,Ac,Na2O.Fe2O3.4SiO2,462.004339,400.0254,3.6
Sodium_metasilicate,Ns,Na2O.SiO2,122.063239,60.0843,2.4
Kaliophilite,Kp,K2O.Al2O3.2SiO2,316.325876,222.129876,2.6
Potassium_metasilicate,Ks,K2O.SiO2,154.2803,60.0843,2.5
Dicalcium_silicate,Cs,2CaO.SiO2,172.2391,60.0843,3.27
Chromite,Cr,FeO.Cr2O3,223.8348,NaN,4.9
Calcite,Cc,CaO.CO2,100.0868,44.0094,2.745
Sodium_Carbonate,Nc,Na2O.CO2,105.988339,44.0094,2.53
Halite,Hl,NaCl,58.44246,35.4526,2.96
Rutile,Ru,TiO2,79.8658,NaN,4.24
Zircon,Zr,ZrO2.SiO2,183.3071,NaN,4.65
Pyrite,Pr,FeS2,119.98,64.132,5.05
